ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.75_1.01	CC	0.701_0.8	3247	0.076	26534	0.621
cons_cons	0.75_1.01	CC	0.801_0.9	2249	0.053	28783	0.674
cons_cons	0.75_1.01	CC	0.901_1.0	13921	0.326	42704	1.0
cons_cons	0.75_1.01	EE	0_0.1	1337	0.11	1337	0.11
cons_cons	0.75_1.01	EE	0.101_0.2	2817	0.232	4154	0.342
cons_cons	0.75_1.01	EE	0.201_0.3	1778	0.146	5932	0.488
cons_cons	0.75_1.01	EE	0.301_0.4	2070	0.17	8002	0.658
cons_cons	0.75_1.01	EE	0.401_0.5	1079	0.089	9081	0.747
cons_cons	0.75_1.01	EE	0.501_0.6	484	0.04	9565	0.787
cons_cons	0.75_1.01	EE	0.601_0.7	770	0.063	10335	0.85
cons_cons	0.75_1.01	EE	0.701_0.8	523	0.043	10858	0.893
cons_cons	0.75_1.01	EE	0.801_0.9	288	0.024	11146	0.917
cons_cons	0.75_1.01	EE	0.901_1.0	1008	0.083	12154	1.0
cons_cons	0.75_1.01	HH	0_0.1	1519	0.052	1519	0.052
cons_cons	0.75_1.01	HH	0.101_0.2	3794	0.129	5313	0.181
cons_cons	0.75_1.01	HH	0.201_0.3	2787	0.095	8100	0.276
cons_cons	0.75_1.01	HH	0.301_0.4	3911	0.133	12011	0.41
cons_cons	0.75_1.01	HH	0.401_0.5	2718	0.093	14729	0.503
cons_cons	0.75_1.01	HH	0.501_0.6	1524	0.052	16253	0.555
cons_cons	0.75_1.01	HH	0.601_0.7	2349	0.08	18602	0.635
cons_cons	0.75_1.01	HH	0.701_0.8	2253	0.077	20855	0.712
cons_cons	0.75_1.01	HH	0.801_0.9	1340	0.046	22195	0.757
cons_cons	0.75_1.01	HH	0.901_1.0	7111	0.243	29306	1.0
cons_cons	0_0.25	CC	0_0.1	2	0.008	2	0.008
cons_cons	0_0.25	CC	0.101_0.2	6	0.025	8	0.034
cons_cons	0_0.25	CC	0.201_0.3	11	0.046	19	0.08
cons_cons	0_0.25	CC	0.301_0.4	27	0.113	46	0.193
cons_cons	0_0.25	CC	0.401_0.5	14	0.059	60	0.252
cons_cons	0_0.25	CC	0.501_0.6	4	0.017	64	0.269
cons_cons	0_0.25	CC	0.601_0.7	20	0.084	84	0.353
cons_cons	0_0.25	CC	0.701_0.8	9	0.038	93	0.391
cons_cons	0_0.25	CC	0.801_0.9	2	0.008	95	0.399
cons_cons	0_0.25	CC	0.901_1.0	143	0.601	238	1.0
