Length,Type
6,N
-25,N
4,N
-7,N
-7,N
-7,N
-7,N
-7,N
10,N
25,N
25,N
-6,N
25,N
10,N
25,N
-6,N
-43,N
-43,N
-15,N
-15,N
-41,N
-27,N
-27,N
-27,N
-27,N
-32,N
-186,N
-4,N
-4,N
-4,N
-23,N
-50,N
-38,N
-12,N
27,N
-12,N
85,N
-65,N
57,N
-15,N
-41,N
-17,N
4,N
4,N
4,N
-17,N
-8,N
-35,N
23,N
-27,N
3,N
-17,N
-17,N
-5,N
-36,N
-36,N
-36,N
20,N
-9,N
61,N
118,N
30,N
23,N
-35,N
5,N
5,N
-15,N
-15,N
-73,N
17,N
5,N
5,N
-50,N
-10,N
7,N
-24,N
-66,N
-17,N
-14,N
51,N
-44,N
-46,N
-6,N
6,N
-31,N
16,N
17,N
16,N
17,N
17,N
16,N
17,N
16,N
16,N
-8,N
-18,N
36,N
36,N
36,N
-47,N
-38,N
-43,N
26,N
-25,N
-8,N
-8,N
-8,N
-139,N
-12,N
28,N
-6,N
-49,N
43,N
-10,N
12,N
12,N
12,N
-6,N
-23,N
-127,N
-129,N
-9,N
-192,N
-83,N
-16,N
-14,N
-14,N
-34,N
75,N
11,N
-116,N
-20,N
-7,N
-7,N
-7,N
-21,N
-7,N
-30,N
-30,N
-30,N
-4,N
-30,N
5,N
5,N
37,N
14,N
110,N
-6,N
-13,N
-13,N
-13,N
36,N
-23,N
-17,N
-3,N
-35,N
-14,N
-8,N
-8,N
6,N
-15,N
6,N
6,N
6,N
-12,N
-13,N
13,N
13,N
13,N
87,N
13,N
-17,N
-49,N
-49,N
43,N
-28,N
26,N
26,N
48,N
-57,N
-57,N
7,N
21,N
26,N
26,N
26,N
26,N
26,N
38,N
-7,N
30,N
-7,N
-19,N
-6,N
-7,N
-6,N
29,N
-48,N
-528,N
-8,N
-5,N
-5,N
49,N
49,N
49,N
37,N
37,N
49,N
37,N
49,N
-14,N
11,N
30,N
-44,N
-9,N
-42,N
-54,N
-20,N
-20,N
16,N
16,N
-31,N
16,N
16,N
-15,N
-39,N
22,N
22,N
22,N
35,N
-5,N
-12,N
-12,N
6,N
-13,N
3,N
-15,N
-20,N
-9,N
-21,N
74,N
7,N
7,N
6,N
17,N
43,N
-23,N
52,N
-59,N
32,N
32,N
32,N
6,N
32,N
32,N
32,N
13,N
-3,N
40,N
-11,N
-11,N
-46,N
39,N
-15,N
67,N
-15,N
-22,N
124,N
-29,N
28,N
127,N
127,N
-17,N
-28,N
-34,N
-20,N
-46,N
-14,N
16,N
-14,N
-33,N
-11,N
-11,N
-11,N
-11,N
-32,N
-32,N
-32,N
-32,N
-32,N
-13,N
-37,N
-13,N
-13,N
-55,N
-55,N
-38,N
4,N
-27,N
-28,N
-29,N
-8,N
-16,N
-16,N
41,N
7,N
-29,N
-12,N
-12,N
-12,N
49,N
15,N
14,N
25,N
14,N
-5,N
14,N
-72,N
6,N
10,N
10,N
-11,N
10,N
10,N
10,N
-11,N
-11,N
-48,N
12,N
-152,N
-34,N
-67,N
-67,N
121,N
17,N
16,N
-46,N
-16,N
-67,N
-10,N
9,N
8,N
-25,N
-25,N
-30,N
-17,N
69,N
17,N
-18,N
-4,N
-4,N
-4,N
10,N
-28,N
-28,N
-21,N
-28,N
-28,N
35,N
11,N
-6,N
91,N
-21,N
166,N
-982,N
-42,N
-35,N
47,N
6,N
6,N
48,N
-27,N
-27,N
-22,N
-10,N
-4,N
22,N
12,N
8,N
-10,N
-22,N
-7,N
-7,N
-7,N
46,N
-71,N
-71,N
-71,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-211,N
-184,N
-4,N
-4,N
12,N
-23,N
-29,N
-12,N
-39,N
6,N
11,N
11,N
-17,N
11,N
11,N
11,N
-13,N
61,N
80,N
-16,N
-16,N
-53,N
-20,N
49,N
49,N
49,N
23,N
-39,N
-12,N
25,N
-38,N
-38,N
-22,N
-8,N
-17,N
66,N
34,N
-6,N
15,N
-106,N
7,N
20,N
-137,N
-7,N
42,N
-32,N
8,N
8,N
-32,N
24,N
8,N
104,N
5,N
102,N
5,N
-9,N
30,N
-10,N
-10,N
-10,N
-23,N
-22,N
156,N
-29,N
-17,N
-4,N
-42,N
-64,N
-6,N
-117,N
-104,N
-19,N
24,N
-66,N
-50,N
10,N
10,N
-492,N
-486,N
23,N
-11,N
-11,N
-11,N
-57,N
-4,N
-4,N
-9,N
-92,N
-29,N
-9,N
-3,N
-59,N
-59,N
-267,N
